iter	Passed	Remaining
0	74	149829
1	88	88767
2	103	68671
3	117	58553
4	129	51654
5	142	47240
6	154	44125
7	168	41960
8	182	40336
9	195	38815
10	207	37461
11	219	36282
12	231	35431
13	243	34511
14	254	33739
15	267	33173
16	278	32451
17	289	31830
18	301	31441
19	313	31021
20	326	30721
21	339	30554
22	353	30375
23	365	30070
24	376	29714
25	388	29514
26	401	29337
27	414	29188
28	427	29057
29	439	28884
30	452	28758
31	465	28601
32	478	28529
33	490	28364
34	502	28230
35	515	28117
36	527	27974
37	538	27819
38	550	27692
39	562	27543
40	574	27428
41	586	27349
42	597	27208
43	609	27073
44	619	26910
45	631	26832
46	643	26740
47	654	26609
48	665	26504
49	676	26382
50	688	26299
51	698	26180
52	715	26266
53	727	26221
54	740	26180
55	753	26145
56	764	26056
57	776	25994
58	787	25921
59	798	25810
60	810	25772
61	821	25684
62	834	25664
63	845	25580
64	857	25539
65	869	25473
66	880	25404
67	890	25312
68	902	25265
69	913	25192
70	925	25145
71	936	25072
72	947	25019
73	960	25010
74	972	24950
75	984	24914
76	996	24885
77	1008	24844
78	1028	24999
79	1041	24999
80	1053	24969
81	1066	24937
82	1079	24927
83	1092	24911
84	1104	24891
85	1117	24867
86	1129	24839
87	1141	24802
88	1153	24772
89	1166	24766
90	1178	24730
91	1192	24724
92	1206	24729
93	1220	24738
94	1233	24726
95	1249	24776
96	1261	24746
97	1276	24769
98	1291	24805
99	1304	24791
100	1317	24769
101	1331	24769
102	1344	24756
103	1359	24777
104	1371	24759
105	1387	24787
106	1400	24781
107	1415	24801
108	1428	24778
109	1442	24781
110	1459	24831
111	1480	24949
112	1509	25205
113	1523	25208
114	1536	25181
115	1548	25157
116	1562	25143
117	1574	25112
118	1587	25096
119	1599	25051
120	1614	25070
121	1629	25076
122	1641	25047
123	1655	25049
124	1668	25025
125	1682	25017
126	1700	25075
127	1736	25394
128	1752	25425
129	1769	25448
130	1792	25568
131	1811	25641
132	1829	25677
133	1843	25665
134	1864	25763
135	1880	25767
136	1899	25834
137	1921	25922
138	1935	25911
139	1949	25900
140	1962	25872
141	1973	25817
142	1985	25785
143	2000	25780
144	2019	25831
145	2033	25827
146	2049	25833
147	2064	25834
148	2076	25799
149	2089	25768
150	2100	25724
151	2112	25684
152	2125	25654
153	2146	25728
154	2162	25735
155	2176	25727
156	2190	25715
157	2202	25678
158	2219	25694
159	2236	25717
160	2248	25686
161	2260	25646
162	2272	25611
163	2283	25567
164	2295	25533
165	2308	25503
166	2321	25475
167	2333	25443
168	2344	25405
169	2356	25368
170	2369	25339
171	2380	25297
172	2392	25269
173	2404	25238
174	2417	25212
175	2430	25191
176	2442	25159
177	2455	25134
178	2468	25108
179	2482	25098
180	2493	25055
181	2505	25025
182	2516	24988
183	2528	24956
184	2538	24909
185	2550	24875
186	2560	24828
187	2572	24789
188	2595	24866
189	2606	24832
190	2618	24804
191	2630	24768
192	2640	24725
193	2651	24687
194	2664	24659
195	2675	24625
196	2688	24606
197	2700	24579
198	2712	24549
199	2723	24513
200	2734	24473
201	2743	24421
202	2754	24385
203	2766	24352
204	2776	24315
205	2788	24281
206	2799	24248
207	2809	24207
208	2822	24183
209	2834	24159
210	2859	24245
211	2877	24264
212	2903	24360
213	2919	24366
214	2936	24378
215	2949	24361
216	2985	24533
217	3001	24534
218	3051	24820
219	3067	24816
220	3081	24801
221	3126	25044
222	3144	25057
223	3158	25040
224	3174	25039
225	3187	25018
226	3230	25233
227	3248	25250
228	3264	25245
229	3281	25250
230	3295	25236
231	3311	25235
232	3357	25463
233	3391	25598
234	3406	25581
